标题,内容,发布时间,链接
日本央行委员称需通过适时加息完成政策正常化,日本央行审议委员Kazuyuki Masu周五表示，日本央行需继续上调基准利率，以完成货币政策设定的正常化进程。Masu周五在日本西部爱媛县对当地商界领袖发表演讲时指出，此举将有助于结束日本与其他国家在加息或降息方面货币政策走向相悖的局面。他说，尽管潜在通胀率仍低于2%，但已“非常接近”2%的目标；日本显然已经进入通货膨胀阶段，今后关键在于通过适时、恰当的加息措施，确保潜在通胀率维持在2%以下，同时，必须避免因过度加息而破坏刚刚形成的薪资与物价温和上涨的良性循环。,2026-02-06 11:16:32,https://news.10jqka.com.cn/20260206/c674606109.shtml
京东工业与巨星控股集团深化战略合作 推动三年合作销售额10倍增长,2月4日，北京京东数智工业科技有限公司（简称京东工业）与巨星控股集团有限公司（简称巨星控股集团）正式签署战略合作协议。根据协议，双方将在渠道合作、营销合作、技术对接及物流服务、产品合作、海外合作等多领域展开深度协同，力争未来三年在京东工业实现合作销售额增长10倍的目标。（人民财讯）,2026-02-06 11:12:48,https://news.10jqka.com.cn/20260206/c674606024.shtml
特朗普在查戈斯群岛问题上“改口”,美国总统特朗普5日在社交媒体发文说，他“理解”英国同毛里求斯就查戈斯群岛主权达成的协议。此前他曾称英国把查戈斯群岛主权交还给毛里求斯“愚蠢至极”。 特朗普说，他当天与英国首相斯塔默就查戈斯群岛问题进行了“富有成效”的讨论，他理解斯塔默达成的协议是“他能达成的最好方案”。 特朗普同时称，查戈斯群岛主岛迪戈加西亚上的美军基地对美国国家安全至关重要，其战略位置为美国的军事行动“提供了集结和部署的便利”。如果未来英国同毛里求斯的协议出现任何变故，危及美国在迪戈加西亚岛的军事行动和驻军，他“保留采取军事行动确保和加强美在迪戈加西亚岛存在的权利”。 查戈斯群岛位于毛里求斯东北方向约750公里的印度洋西南海域，1965年被割让给英国殖民当局。英国次年把迪戈加西亚岛租给美国建空军基地。2025年5月22日，英国和毛里求斯签署协议，查戈斯群岛主权被正式移交给毛里求斯。根据协议内容，位于该地区的迪戈加西亚军事基地将由毛里求斯租借给英国和美国。 今年1月，特朗普称英国把查戈斯群岛主权交还给毛里求斯“愚蠢至极”，并借此强调美国控制格陵兰岛的“必要性”。此举引发英方不满。(新华社),2026-02-06 11:10:36,https://news.10jqka.com.cn/20260206/c674605968.shtml
上海市经信委组织开展2026年安全应急装备应用推广典型案例推荐工作 重点鼓励人工智能、5G等新一代信息技术赋能创新应用,上海市经济信息化委发布《关于组织开展2026年安全应急装备应用推广典型案例推荐工作的通知》。其中提出，本次案例推荐覆盖三大核心场景，聚焦七大装备类型，重点鼓励人工智能、5G等新一代信息技术赋能的创新应用，具体包括：①重点行业领域生产安全及应急救援：涵盖工业制造、房屋市政工程、交通、城乡消防、海洋等领域，重点推荐监测预警、智能防护、工业消防、个体防护、职业健康、智能防护、防毒庇护、洗消、巡检、通信指挥、导航定位等装备应用案例。②自然灾害防治：针对地震地质、洪水内涝、冰雪、火灾等场景，征集预警处置、抢险救援、应急通信、人员搜救等装备应用案例。③社区家庭安全应急：面向家居、景区、活动场馆等环境，推荐应急包、火灾探测报警器、家用灭火器、AED等安全应急产品应用案例。,2026-02-06 11:09:07,https://news.10jqka.com.cn/20260206/c674605933.shtml
港股创新药概念股震荡走高，诺诚健华涨超10%,港股创新药概念股震荡走高，诺诚健华涨超10%，歌礼制药-B涨超8%，山东新华制药、昭衍新药、信达生物跟涨。,2026-02-06 11:06:03,https://news.10jqka.com.cn/20260206/c674605880.shtml
江汽集团与布雷博签署战略合作协议,江汽集团（JAC）与制动解决方案提供者布雷博（Brembo）2月5日签署战略合作协议，旨在加强长期合作，共同推动未来汽车平台的创新发展。（江汽集团）,2026-02-06 11:05:54,https://news.10jqka.com.cn/20260206/c674605876.shtml
美国一危化品列车脱轨 当地发布就地避难令,美国东部时间5日上午，一列载有危险化学品的货运列车在美国东北部康涅狄格州曼斯菲尔德镇附近脱轨，部分车厢滑入铁道旁一条河中。当地官员表示，尚未发现危化品泄漏，事故没有造成人员伤亡。曼斯菲尔德消防局局长约翰·罗奇说，列车有6节车厢脱轨，其中4节滑入河中。脱轨车厢装载有液化丙烷。事故发生后，曼斯菲尔德镇政府向事发地点方圆约800米范围内的居民发布就地避难令，敦促居民待在室内，缘由是液化丙烷无味，无法通过气味立即察觉。周边道路被封闭。(新华社),2026-02-06 11:05:20,https://news.10jqka.com.cn/20260206/c674605867.shtml
PCB概念持续拉升，深南电路涨停,PCB概念持续拉升，深南电路涨停，中富电路涨超10%，胜宏科技、鹏鼎控股、富佳股份、生益电子跟涨。,2026-02-06 11:04:00,https://news.10jqka.com.cn/20260206/c674605834.shtml
美国众议院监督委员会主席：比尔·盖茨可能接受问询,“比尔·盖茨有可能很快就会接受监督委员会问询，”美国国会众议院监督委员会主席James Comer在接受采访时说。她说：“我们仍然并非指控比尔·盖茨有任何不当行为，但我们在爱泼斯坦一事上有很多疑问。”Comer表示，这是一项与杰弗里·爱泼斯坦有关的两党调查。,2026-02-06 11:03:11,https://news.10jqka.com.cn/20260206/c674605824.shtml
印度东北部煤矿爆炸死亡人数升至18人,根据印度警方2月5日晚间通报，当天早些时候该国东北部梅加拉亚邦煤矿爆炸事故的死亡人数已升至18人。目前仍有多人被困，救援行动还在继续。（央视新闻）,2026-02-06 10:59:15,https://news.10jqka.com.cn/20260206/c674605753.shtml
