时间,内容
2026-02-06 11:17:15,【碰瓷顺丰速运，“顺丰速孕”车贴被判赔20万#】近日，广州知识产权法院一审判决“顺丰速孕”车贴构成对“顺丰速运”驰名商标的侵害，判令销售方店小二公司赔偿深圳顺丰泰森控股（集团）有限公司20万元，并公开登报消除影响。 法院认定，“顺丰速孕”车贴高度模仿“顺丰速运”商标，仅将“运”改为同音字“孕”，保留“SF”标识及“EXPRESS”英文，整体结构高度近似。该行为不仅弱化驰名商标显著性，更以谐音调侃生育，贬损品牌形象、违背公序良俗，易使公众误认关联。被告辩称系“网络幽默表达”，但法院指出，此类“玩梗”营销已构成《商标法》所禁止的“淡化侵权”。（贝克财经）
2026-02-06 11:16:05,蔚来汽车港交所股价上涨5.8%，至38.68港元。
2026-02-06 11:15:58,菲律宾与美国签署协议，以发展关键矿产行业。
2026-02-06 11:15:43,【日本央行委员称需通过适时加息完成政策正常化】日本央行审议委员Kazuyuki Masu周五表示，日本央行需继续上调基准利率，以完成货币政策设定的正常化进程。Masu周五在日本西部爱媛县对当地商界领袖发表演讲时指出，此举将有助于结束日本与其他国家在加息或降息方面货币政策走向相悖的局面。他说，尽管潜在通胀率仍低于2%，但已“非常接近”2%的目标；日本显然已经进入通货膨胀阶段，今后关键在于通过适时、恰当的加息措施，确保潜在通胀率维持在2%以下，同时，必须避免因过度加息而破坏刚刚形成的薪资与物价温和上涨的良性循环。
2026-02-06 11:15:20,【算力硬件股持续回升 深南电路涨停】算力硬件股盘中持续回升，深南电路涨停，中富电路涨超10%，环旭电子、长光华芯、威尔高、鹏鼎控股、胜宏科技涨幅靠前。
2026-02-06 11:14:33,标普：印尼面临的主要下行风险在于其财政状况的恶化。
2026-02-06 11:14:15,标普表示，印尼的评级展望为“稳定”。
2026-02-06 11:13:01,【美国国债收益率曲线升至近四年来最陡水平】当地时间2月5日，美国国债收益率曲线升至近四年来最陡水平。受降息预期升温、对通胀持续性的担忧以及财政赤字压力影响，美国10年期国债与2年期国债收益率利差一度扩大至73.7个基点，接近2025年4月触及的73.8个基点高位，为2022年1月以来最高水平。
2026-02-06 11:12:27,【京东工业与巨星控股集团深化战略合作 推动三年合作销售额10倍增长】2月4日，北京京东数智工业科技有限公司（简称京东工业）与巨星控股集团有限公司（简称巨星控股集团）正式签署战略合作协议。根据协议，双方将在渠道合作、营销合作、技术对接及物流服务、产品合作、海外合作等多领域展开深度协同，力争未来三年在京东工业实现合作销售额增长10倍的目标。
2026-02-06 11:10:49,【特朗普在查戈斯群岛问题上“改口”】美国总统特朗普5日在社交媒体发文说，他“理解”英国同毛里求斯就查戈斯群岛主权达成的协议。此前他曾称英国把查戈斯群岛主权交还给毛里求斯“愚蠢至极”。特朗普说，他当天与英国首相斯塔默就查戈斯群岛问题进行了“富有成效”的讨论，他理解斯塔默达成的协议是“他能达成的最好方案”。特朗普同时称，查戈斯群岛主岛迪戈加西亚上的美军基地对美国国家安全至关重要，其战略位置为美国的军事行动“提供了集结和部署的便利”。如果未来英国同毛里求斯的协议出现任何变故，危及美国在迪戈加西亚岛的军事行动和驻军，他“保留采取军事行动确保和加强美在迪戈加西亚岛存在的权利”。
